0.0163574,-0.00708008,-1.03027,-0.0047697,-0.00337803,-0.0175462,-179.606,-0.909574,0
1.00415,-1.00415,-1.00415,-2.18058,2.19478,2.16731,-157.706,-31.5374,-23.2587
0.0146484,-0.00756836,-1.02856,-0.00583393,-0.00124958,-0.0170141,-158.288,-30.8392,-23.0903
0.013916,-0.00878906,-1.02539,-0.00569335,-0.00277734,-0.0171234,-158.852,-30.153,-22.9314
0.0148926,-0.010498,-1.0249,-0.003479,-0.00167183,-0.0156722,-159.394,-29.483,-22.7827
0.0136719,-0.0117188,-1.02026,-0.00443375,-0.00215084,-0.0152946,-159.919,-28.8255,-22.6417
0.0161133,-0.0119629,-1.02588,-0.00380762,-0.0026183,-0.0159646,-160.427,-28.1851,-22.5078
0.019043,-0.00805664,-1.02466,-0.00371587,-0.00515166,-0.0135028,-160.925,-27.5604,-22.381
0.0168457,-0.00708008,-1.02539,-0.00102988,-0.00866256,-0.014216,-161.408,-26.9445,-22.2581
0.0178223,-0.00561523,-1.02881,0.00055281,-0.0193589,-0.0133541,-161.879,-26.3363,-22.139
0.015625,-0.00830078,-1.0271,0.000539489,-0.0220082,-0.0125131,-162.332,-25.7367,-22.026
0.0131836,-0.00976562,-1.02637,0.00104578,-0.016285,-0.0122115,-162.769,-25.1508,-21.9198
0.0117188,-0.0119629,-1.02197,-0.000537292,-0.00706462,-0.0134751,-163.191,-24.5822,-21.8201
0.0148926,-0.0102539,-1.02466,-0.00260151,0.000894973,-0.0121119,-163.604,-24.0352,-21.7279
0.0126953,-0.0112305,-1.02051,-0.00617385,0.00346986,-0.01182,-164.005,-23.4992,-21.6406
0.0144043,-0.0114746,-1.02246,-0.00706367,0.00909845,-0.0125738,-164.396,-22.9812,-21.5583
0.0197754,-0.00878906,-1.0249,-0.00897062,0.0187457,-0.0122708,-164.78,-22.4879,-21.4821
0.0183105,-0.00708008,-1.02563,-0.00615801,0.00583105,-0.0130137,-165.155,-21.9955,-21.4058
0.0175781,-0.00976562,-1.02734,-0.00341317,-0.00469527,-0.0121808,-165.514,-21.5062,-21.3321
0.0175781,-0.0153809,-1.01782,-0.00177305,-0.00354355,-0.00981014,-165.855,-21.0283,-21.265
0.0117188,-0.00732422,-1.00903,-0.0603054,0.209834,-0.0114065,-166.224,-20.6939,-21.2342
